76	0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0.307403	 0.187544	 0.627082
77	1	 0	 1	 0	 0	 1	 1	 0	 1	 0	 0	 1	 0.316376	 0.349475	 0.650496
78	0	 0	 1	 0	 1	 1	 0	 0	 1	 0	 1	 0	 0.309571	 0.167336	 0.854149
79	0	 0	 1	 0	 1	 0	 0	 0	 1	 1	 1	 0	 0.34887	 0.167165	 0.664016
80	1	 1	 0	 0	 1	 0	 1	 0	 0	 0	 1	 0	 0.13096	 0.14282	 0.867962
81	0	 0	 1	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.325	 0.254177	 0.864549
82	1	 0	 1	 0	 0	 1	 0	 0	 1	 0	 1	 0	 0.367824	 0.166433	 0.817463
83	0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0.139363	 0.332651	 0.760493
84	1	 1	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.226972	 0.223559	 0.631347
85	0	 0	 1	 0	 1	 0	 0	 0	 0	 1	 1	 0	 0.352812	 0.141501	 0.671265
86	0	 0	 1	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.2897	 0.196894	 0.812564
87	1	 0	 1	 0	 0	 1	 0	 0	 1	 0	 1	 0	 0.354779	 0.187719	 0.822378
88	1	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0.138456	 0.294822	 0.731557
89	0	 0	 1	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.204885	 0.307888	 0.704005
90	1	 1	 0	 0	 1	 1	 0	 0	 1	 1	 1	 0	 0.236711	 0.225876	 0.778524
91	1	 0	 0	 0	 1	 1	 0	 0	 1	 1	 1	 0	 0.201674	 0.144428	 0.64197
92	0	 1	 0	 0	 0	 1	 0	 0	 1	 1	 1	 0	 0.236669	 0.140741	 0.65483
93	1	 1	 0	 0	 0	 0	 1	 0	 1	 1	 1	 0	 0.199153	 0.245347	 0.79769
94	1	 0	 1	 0	 0	 0	 1	 0	 1	 1	 1	 0	 0.361075	 0.335569	 0.814965
95	1	 1	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.237438	 0.230802	 0.805107
96	1	 0	 1	 0	 1	 0	 0	 0	 0	 1	 1	 0	 0.374702	 0.130061	 0.69702
97	0	 1	 0	 0	 1	 1	 0	 0	 1	 0	 1	 0	 0.236624	 0.155976	 0.765301
98	1	 1	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.181688	 0.274152	 0.676722
99	1	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0.138398	 0.302546	 0.753289
100	1	 1	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.180744	 0.259024	 0.654036
101	0	 0	 1	 0	 0	 1	 0	 0	 1	 0	 1	 0	 0.332385	 0.160916	 0.793873
102	1	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 1	 0.371991	 0.331769	 0.675928
103	0	 0	 1	 0	 1	 1	 0	 0	 1	 1	 1	 0	 0.336954	 0.252998	 0.795427
104	0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0.15483	 0.318581	 0.800937
105	0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0.190024	 0.195675	 0.667774
106	0	 1	 0	 0	 0	 0	 1	 0	 0	 1	 1	 0	 0.161315	 0.222091	 0.78578
107	0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 1	 0.166638	 0.327383	 0.743011
108	0	 0	 1	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.275946	 0.223696	 0.81182
109	0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0.277967	 0.336999	 0.764664
110	1	 0	 0	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0.131417	 0.145835	 0.749253
111	0	 0	 1	 0	 1	 1	 0	 0	 1	 0	 1	 0	 0.282724	 0.154244	 0.816187
112	1	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 1	 0.229532	 0.317049	 0.667469
113	1	 1	 0	 0	 0	 0	 1	 0	 1	 1	 1	 0	 0.20541	 0.234727	 0.743718
114	0	 1	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.211271	 0.145446	 0.679091
115	1	 1	 0	 0	 1	 0	 1	 0	 1	 1	 1	 0	 0.137093	 0.297631	 0.813251
116	1	 1	 0	 0	 1	 1	 0	 0	 0	 0	 0	 1	 0.284234	 0.206876	 0.641839
117	0	 0	 1	 0	 1	 1	 0	 0	 0	 0	 0	 1	 0.274538	 0.274116	 0.771127
118	0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0.25256	 0.353912	 0.782476
119	0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0.133687	 0.172819	 0.799175
120	1	 1	 0	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0.170829	 0.193142	 0.874785
121	1	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 1	 0.209091	 0.363319	 0.690132
122	1	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 1	 0.15742	 0.367645	 0.696299
123	1	 0	 1	 0	 1	 1	 0	 0	 1	 0	 0	 1	 0.345004	 0.284385	 0.702673
124	1	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0.203876	 0.327801	 0.638314
125	0	 0	 1	 0	 0	 0	 1	 0	 1	 1	 1	 0	 0.26698	 0.295841	 0.794574
